stock_code,description,units_sold,units_returned,net_sales,gross_sales,return_value,total_orders
16202A,PASTEL PINK PHOTO ALBUM ,662,324,192.65,290.45,97.80,24
16202B,PASTEL BLUE PHOTO ALBUM ,1039,472,384.08,528.56,144.48,26
16202C,BEIGE PHOTO ALBUM,97,0,230.59,230.59,0.00,12
16202E,BLACK PHOTO ALBUM ,82,1,157.18,162.73,5.55,15
16206B,RED PURSE WITH PINK HEART,96,0,116.40,116.40,0.00,16
16207A,PINK STRAWBERRY HANDBAG ,143,0,423.53,423.53,0.00,76
16207B,PINK HEART RED HANDBAG,265,0,457.65,457.65,0.00,46
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,0,287.01,287.01,0.00,37
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,0,5.20,5.20,0.00,3
16216,LETTER SHAPE PENCIL SHARPENER,4158,110,354.04,371.64,17.60,90
16218,CARTOON  PENCIL SHARPENERS,4629,0,448.13,448.13,0.00,98
16219,HOUSE SHAPE PENCIL SHARPENER,3357,48,496.67,499.55,2.88,129
16225,RATTLE SNAKE EGGS,1520,0,1271.66,1271.66,0.00,165
16235,RECYCLED PENCIL WITH RABBIT ERASER,5827,133,1306.02,1333.95,27.93,314
16236,KITTY PENCIL ERASERS,2652,28,587.41,593.29,5.88,261
16237,SLEEPING CAT ERASERS,10385,91,2214.04,2233.15,19.11,583
16238,PARTY TIME PENCIL ERASERS,2447,0,559.54,559.54,0.00,236
16239,BALLERINA HEART DECORATION.,347,0,492.17,492.17,0.00,21
16243B,BROWN COZY SQUARE PHOTO ALBUM,212,0,441.77,441.77,0.00,8
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,186,0,479.41,479.41,0.00,28
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,345,0,765.02,765.02,0.00,28
16245A,PINK MINI STATIONERY SET W CASE,11,0,13.75,13.75,0.00,7
16248B,BLUE HOLE PUNCH,81,0,101.25,101.25,0.00,12
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,941,0,305.66,305.66,0.00,40
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,524,0,232.35,232.35,0.00,35
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169,14,65.10,70.98,5.88,11
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1063,1,375.51,375.93,0.42,102
16258B,DAISY ERASERS IN BAG,1016,0,221.06,221.06,0.00,15
16259,PIECE OF CAMO STATIONERY SET,5473,134,751.99,766.09,14.10,59
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211,6,297.61,299.35,1.74,25
17003,BROCADE RING PURSE ,70369,740,14550.64,14766.42,215.78,462
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,34,0,71.40,71.40,0.00,6
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,261,0,179.56,179.56,0.00,12
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,0,11.10,11.10,0.00,2
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,335,0,221.40,221.40,0.00,2
17011D,ORIGAMI ROSE INCENSE+FLOWER,209,0,135.70,135.70,0.00,4
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,0,80.60,80.60,0.00,1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,385,0,336.20,336.20,0.00,20
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,726,0,806.16,806.16,0.00,95
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,721,0,867.45,867.45,0.00,126
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,856,0,950.40,950.40,0.00,113
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,520,0,658.72,658.72,0.00,116
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,263,0,296.79,296.79,0.00,29
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,586,0,680.65,680.65,0.00,107
17013B,ORIGAMI JASMINE INCENSE IN TUBE,256,0,221.03,221.03,0.00,3
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,96,49.14,89.46,40.32,3
17013D,ORIGAMI ROSE INCENSE IN TUBE,1068,1,570.83,572.40,1.57,32
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,62,0,26.70,26.70,0.00,5
17014A,ORIGAMI VANILLA INCENSE CONES,276,0,170.13,170.13,0.00,16
17014C,ORIGAMI LAVENDER INCENSE CONES,97,0,43.75,43.75,0.00,2
17014D,ORIGAMI ROSE INCENSE CONES,479,0,204.36,204.36,0.00,8
17014E,ORIGAMI OPIUM INCENSE CONES,95,0,36.60,36.60,0.00,6
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61,0,23.70,23.70,0.00,4
17021,NAMASTE SWAGAT INCENSE,3720,78,960.84,984.24,23.40,79
17027A,INCENSE BAZAAR CANNABIS,228,0,84.84,84.84,0.00,2
17028J,INCENSE BAZAAR PEACH,6,0,2.52,2.52,0.00,1
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3280,36,857.40,867.84,10.44,70
17038,PORCELAIN BUDAH INCENSE HOLDER,2559,0,254.51,254.51,0.00,55
17039,INLAID WOOD INCENSE HOLDER,3707,0,837.88,837.88,0.00,43
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,0,2.08,2.08,0.00,1
17084A,TRANQUILITY MASALA INCENSE,442,0,92.82,92.82,0.00,18
17084G,MOON INCENSE,50,0,10.50,10.50,0.00,2
17084J,LOVE POTION MASALA INCENSE,456,0,95.76,95.76,0.00,20
17084N,FAIRY DREAMS INCENSE ,2768,0,640.26,640.26,0.00,187
17084P,DRAGONS BLOOD INCENSE,990,0,222.75,222.75,0.00,70
17084R,ASSORTED INCENSE PACK,10625,0,1968.45,1968.45,0.00,66
17090A,LAVENDER INCENSE 40 CONES IN TIN,173,0,182.65,182.65,0.00,26
17090D,VANILLA INCENSE 40 CONES IN TIN,88,0,105.20,105.20,0.00,28
17091A,LAVENDER INCENSE IN TIN,2085,0,1285.89,1285.89,0.00,117
17091B,JASMINE TEA INCENSE IN TIN,276,0,316.98,316.98,0.00,51
17091F,SANDALWOOD INCENSE IN TIN,19,0,27.71,27.71,0.00,8
17091J,VANILLA INCENSE IN TIN,3964,0,2204.35,2204.35,0.00,178
17096,ASSORTED LAQUERED INCENSE HOLDERS,6240,0,1117.09,1117.09,0.00,76
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,0,150.45,150.45,0.00,20
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",250,2,632.40,637.50,5.10,66
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,0,15.30,15.30,0.00,1
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,0,149.10,149.10,0.00,23
17109A,FLOWER FAIRY INCENSE LILY,709,0,333.61,333.61,0.00,13
17109B,FLOWER FAIRY INCENSE LAVENDER,4542,0,896.34,896.34,0.00,17
17109C,FLOWER FAIRY INCENSE ROSE,3124,1,659.54,661.23,1.69,16
17109D,FLOWER FAIRY INCENSE BOUQUET,1257,1,596.62,598.31,1.69,39
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,86,0,57.98,57.98,0.00,11
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1125,0,1351.18,1351.18,0.00,39
17129F,BLUE GLASS GEMS IN BAG,911,8,878.46,890.12,11.66,83
17129F,DEEP BLUE GLASS GEMS IN BAG,669,0,794.46,794.46,0.00,64
17136A,BLUE STONES ON WIRE FOR CANDLE,743,0,61.78,61.78,0.00,34
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1620,2,645.72,646.56,0.84,82
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1150,0,447.00,447.00,0.00,28
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,810,4,747.48,751.68,4.20,59
17165D,ASS COL LARGE SAND FROG P'WEIGHT,716,6,676.02,682.32,6.30,92
17174,ASSTD RASTA KEY-CHAINS,36,0,15.12,15.12,0.00,7
17178,FLAT PALM T-LIGHT HOLDER,133,0,156.65,156.65,0.00,24
17181,CIRCLE OF FRIENDS CANDLE HOLDER,353,0,642.66,642.66,0.00,65
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33,0,123.75,123.75,0.00,12
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11396,2400,923.22,1043.22,120.00,73
18010,ASSORTED FRAGRANCE BATH CONFETTI,64,0,30.16,30.16,0.00,9
18094C,WHITE AND BLUE CERAMIC OIL BURNER,400,1,541.36,542.61,1.25,86
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,33,0,58.05,58.05,0.00,13
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,8,0,41.14,41.14,0.00,6
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,117,12,268.10,298.70,30.60,22
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,17,0,43.35,43.35,0.00,12
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,0,17.85,17.85,0.00,3
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1763,292,3353.12,3924.92,571.80,213
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,0,5.90,5.90,0.00,2
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,0,8.85,8.85,0.00,3
18098c,PORCELAIN BUTTERFLY OIL BURNER,292,0,1479.61,1479.61,0.00,135
18098C,PORCELAIN BUTTERFLY OIL BURNER,1223,24,3160.33,3231.13,70.80,237
20615,BLUE POLKADOT PASSPORT COVER,321,0,506.96,506.96,0.00,107
20615,BLUE SPOTTY PASSPORT COVER,316,0,570.85,570.85,0.00,88
20616,CHERRY BLOSSOM PASSPORT COVER,283,0,449.26,449.26,0.00,121
20617,FIRST CLASS PASSPORT COVER ,498,0,992.99,992.99,0.00,105
20618,QUEEN OF THE SKIES PASSPORT COVER ,297,0,648.54,648.54,0.00,137
20619,TROPICAL PASSPORT COVER ,578,0,1014.42,1014.42,0.00,194
20620,RED SPOTTY PASSPORT COVER,15,0,61.76,61.76,0.00,14
20621,ECONOMY PASSPORT COVER ,207,0,451.67,451.67,0.00,33
20622,VIP PASSPORT COVER ,43,0,94.04,94.04,0.00,17
20622,VIPPASSPORT COVER ,539,0,1033.55,1033.55,0.00,111
20652,BLUE POLKADOT LUGGAGE TAG ,280,0,369.39,369.39,0.00,92
20652,BLUE SPOTTY LUGGAGE TAG ,1236,0,657.90,657.90,0.00,80
20653,CHERRY BLOSSOM LUGGAGE TAG,2004,0,528.77,528.77,0.00,81
20654,FIRST CLASS LUGGAGE TAG ,398,0,505.41,505.41,0.00,120
20655,QUEEN OF SKIES LUGGAGE TAG,414,0,608.48,608.48,0.00,189
20657,TROPICAL LUGGAGE TAG,1877,0,726.47,726.47,0.00,118
20658,RED RETROSPOT LUGGAGE TAG,584,12,851.06,866.06,15.00,159
20658,RED SPOTTY LUGGAGE TAG,1000,24,1355.30,1385.30,30.00,197
20659,ECONOMY LUGGAGE TAG,369,0,533.51,533.51,0.00,138
20660,VIP LUGGAGE TAG ,71,0,88.75,88.75,0.00,26
20661,BLUE POLKADOT PURSE ,415,330,250.66,390.16,139.50,55
20661,BLUE SPOTTY PURSE ,483,24,519.10,589.90,70.80,72
20662,FIRST CLASS HOLIDAY PURSE ,728,300,420.33,471.33,51.00,50
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1074,503,275.56,369.41,93.85,46
20664,TROPICAL HOLIDAY PURSE ,57,0,155.41,155.41,0.00,31
20665,RED RETROSPOT PURSE ,599,1,1975.22,1978.17,2.95,193
20665,RED SPOTTY PURSE ,736,31,2186.72,2278.17,91.45,160
20666,ECONOMY HOLIDAY PURSE,911,400,344.45,412.45,68.00,47
20667,CHERRY BLOSSOM PURSE,40,0,108.69,108.69,0.00,24
20668,DISCO BALL CHRISTMAS DECORATION,20951,3,2454.52,2454.88,0.36,369
20669,RED HEART LUGGAGE TAG,797,0,1111.89,1111.89,0.00,214
20670,VIP HOLIDAY PURSE,694,312,292.45,378.85,86.40,51
20671,BLUE TEATIME PRINT BOWL ,786,0,1038.72,1038.72,0.00,143
20672,PINK TEATIME PRINT BOWL,138,0,201.00,201.00,0.00,36
20673,STRAWBERRIES PRINT BOWL,5,0,6.25,6.25,0.00,2
20674,GREEN POLKADOT BOWL,1848,7,2376.52,2385.08,8.56,251
20674,GREEN SPOTTY BOWL,1564,8,1953.44,1963.44,10.00,215
20675,BLUE POLKADOT BOWL,3616,21,4585.83,4611.89,26.06,389
20675,BLUE SPOTTY BOWL,2849,19,3432.19,3455.94,23.75,313
20676,RED RETROSPOT BOWL,5846,96,7339.38,7445.51,106.13,550
20676,RED SPOTTY BOWL,4629,41,5609.51,5660.19,50.68,429
20677,PINK POLKADOT BOWL,4208,14,5431.82,5449.13,17.31,415
20677,PINK SPOTTY BOWL,3566,0,4348.93,4348.93,0.00,348
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,0,6.60,6.60,0.00,1
20679,EDWARDIAN PARASOL RED,6149,18,29913.87,30020.97,107.10,724
20680,PINK FLOWERS CHILDS UMBRELLA,6,0,19.50,19.50,0.00,4
20681,PINK POLKADOT CHILDRENS UMBRELLA,405,4,1451.29,1464.29,13.00,139
20681,PINK SPOTTY CHILDS UMBRELLA,1000,27,3206.11,3292.86,86.75,217
20682,RED RETROSPOT CHILDRENS UMBRELLA,1585,25,5299.52,5380.27,80.75,352
20682,RED SPOTTY CHILDS UMBRELLA,1483,32,4693.04,4791.04,98.00,256
20683,RAIN GIRL CHILDS UMBRELLA,1,0,3.25,3.25,0.00,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,580,12,1873.56,1910.06,36.50,181
20685,DOORMAT RED RETROSPOT,5038,78,34656.74,35198.96,542.22,908
20685,DOOR MAT RED SPOT,2485,5,15853.44,15889.75,36.31,415
20685,DOORMAT RED SPOT,1086,0,7765.42,7765.42,0.00,205
20685,RED SPOTTY COIR DOORMAT,1174,8,7509.34,7563.34,54.00,209
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,590,8,1977.84,2002.84,25.00,193
20688,BEAUTY SPEED EXPRESSO CUPS,464,0,332.90,332.90,0.00,11
20689,RETRO SISTERS EXPRESSO CUPS,429,12,590.70,614.10,23.40,42
20692,FLORAL ELEPHANT SOFT TOY,908,2,3674.26,3682.76,8.50,141
20693,FLORAL DINOSAUR GREEN,33,1,157.64,161.89,4.25,19
20694,FLORAL PINK MONSTER,166,4,607.33,622.33,15.00,55
20695,FLORAL BLUE MONSTER,142,4,587.58,604.58,17.00,63
20696,FLORAL SOFT CAR TOY,151,0,617.94,617.94,0.00,60
20697,LITTLE GREEN MONSTER SOFT TOY,40,0,96.60,96.60,0.00,21
20698,LITTLE PINK MONSTER SOFT TOY,47,0,114.45,114.45,0.00,21
20699,MOUSEY LONG LEGS SOFT TOY,294,0,797.96,797.96,0.00,88
20700,GREEN CAT FLORAL CUSHION COVER ,420,2,1117.55,1125.05,7.50,105
20701,PINK CAT FLORAL CUSHION COVER ,353,0,721.49,721.49,0.00,50
20702,PINK PADDED MOBILE,782,11,3249.95,3296.70,46.75,251
20703,BLUE PADDED SOFT MOBILE,471,29,1870.22,1993.47,123.25,184
20704,MR ROBOT SOFT TOY,361,4,1343.62,1371.42,27.80,81
20705,MRS ROBOT SOFT TOY,273,1,994.24,996.19,1.95,54
20707,CRAZY DAISY HEART DECORATION,1613,7,1234.93,1243.68,8.75,202
20711,JUMBO BAG TOYS ,12643,38,25648.82,25719.13,70.31,1064
20712,JUMBO BAG WOODLAND ANIMALS,17710,251,37051.76,37499.37,447.61,1433
20713,JUMBO BAG OWLS,20814,252,40218.07,40667.05,448.98,1326
20714,POSY SHOPPER BAG,1580,0,649.82,649.82,0.00,28
20715,LITTLE FLOWER SHOPPER BAG,400,400,0.00,424.00,424.00,2
20716,PARTY FOOD SHOPPER BAG,1533,11,1911.29,1925.04,13.75,248
20717,STRAWBERRY SHOPPER BAG,6296,125,7630.23,7767.48,137.25,762
20718,RED RETROSPOT SHOPPER BAG,6295,45,8638.77,8694.26,55.49,702
20718,RED SPOTTY SHOPPER BAG,7058,13,8746.84,8763.09,16.25,520
20719,WOODLAND CHARLOTTE BAG,24479,135,27491.60,27598.42,106.82,1590
20721,OWLS CHARLOTTE BAG,1,0,0.85,0.85,0.00,1
20723,STRAWBERRY CHARLOTTE BAG,18296,187,20243.27,20401.05,157.78,1402
20724,RED RETROSPOT CHARLOTTE BAG,20663,226,24786.04,24958.77,172.73,1274
20724,RED SPOTTY CHARLOTTE BAG,11534,95,10151.34,10231.44,80.10,797
20725,LUNCH BAG RED RETROSPOT,22232,596,40152.62,41043.02,890.40,1888
20725,LUNCH BAG RED SPOTTY,18085,335,29569.92,30063.27,493.35,1247
20726,LUNCH BAG WOODLAND,22118,1015,37008.79,38506.74,1497.95,1964
20727,LUNCH BAG  BLACK SKULL.,26678,1211,43876.32,45655.27,1778.95,2396
20728,LUNCH BAG CARS BLUE,24596,1140,40592.30,42270.30,1678.00,2110
20729,RED SPOTTY CANDY BAG,5262,22,1750.62,1778.12,27.50,124
20730,STRAWBERRY CANDY BAG,2218,11,997.95,1011.70,13.75,104
20731,POSY CANDY BAG,4142,55,1194.62,1252.92,58.30,74
20733,GOLD MINI TAPE MEASURE ,1927,300,1236.20,1452.20,216.00,295
20734,SILVER MINI TAPE MEASURE ,1592,1,1469.77,1470.62,0.85,118
20735,BLACK MINI TAPE MEASURE ,1515,0,1540.29,1540.29,0.00,202
20736,PINK MINI TAPE MEASURE ,290,0,233.50,233.50,0.00,19
20737,RED MINI TAPE MEASURE ,1,0,1.70,1.70,0.00,1
20738,GREEN MINI TAPE MEASURE ,1610,0,1301.72,1301.72,0.00,74
20739,*USB Office Glitter Lamp,1,0,8.65,8.65,0.00,1
20747,PICCADILLY TEA SET,683,4,9169.52,9224.92,55.40,111
20748,KENSINGTON COFFEE SET,1600,0,14266.98,14266.98,0.00,183
20749,ASSORTED COLOUR MINI CASES,3062,13,21995.86,22097.61,101.75,776
20750,RED RETROSPOT MINI CASES,2066,17,14996.12,15118.47,122.35,515
20750, RED/WHITE DOT MINI CASES,491,0,3696.59,3696.59,0.00,145
20750,RED/WHITE DOT MINI CASES,1131,3,8029.32,8051.57,22.25,258
20751,FUNKY WASHING UP GLOVES ASSORTED,2839,3,6016.96,6023.26,6.30,474
20752,BLUE POLKADOT WASHING UP GLOVES,535,2,1208.26,1212.46,4.20,204
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,965,1,1653.64,1655.74,2.10,157
20753,RETRO PINK SPOT WASHING UP GLOVES,218,2,504.80,509.00,4.20,57
20754,RETRO RED SPOTTY WASHING UP GLOVES,3139,32,6193.19,6257.39,64.20,425
20754,RETROSPOT RED WASHING UP GLOVES,1955,1,4185.33,4187.43,2.10,433
20755,BLUE PAISLEY POCKET BOOK,5145,0,1089.73,1089.73,0.00,122
20756,GREEN FERN POCKET BOOK,5728,0,851.56,851.56,0.00,64
20757,RED DAISY POCKET BOOK ,5347,0,890.70,890.70,0.00,78
20758,ABSTRACT CIRCLES POCKET BOOK,5425,1,952.57,953.42,0.85,96
20759,CHRYSANTHEMUM POCKET BOOK ,5777,0,891.13,891.13,0.00,63
20760,GARDEN PATH POCKET BOOK,5550,0,1313.66,1313.66,0.00,81
20761,BLUE PAISLEY SKETCHBOOK,458,4,1407.46,1422.46,15.00,147
20762,GREEN FERN SKETCHBOOK ,458,4,1328.79,1343.79,15.00,137
20763,DAISY SKETCHBOOK ,267,4,687.86,702.86,15.00,75
20764,ABSTRACT CIRCLES SKETCHBOOK ,685,4,2119.76,2134.76,15.00,194
20765,CHRYSANTHEMUM SKETCHBOOK ,442,5,1246.31,1265.06,18.75,148
20766,GARDEN PATH SKETCHBOOK,518,4,1533.47,1548.47,15.00,156
20767,BLUE PAISLEY JOURNAL ,812,7,1723.76,1741.61,17.85,181
20768,GREEN FERN JOURNAL ,767,0,1534.19,1534.19,0.00,149
20769,DAISY JOURNAL ,438,0,808.81,808.81,0.00,79
20770,ABSTRACT CIRCLE JOURNAL ,1045,10,2170.49,2190.59,20.10,203
