customer_id,total_orders,unique_products,net_sales,avg_transaction_value,units_purchased,units_returned,first_purchase_date,last_purchase_date,recency,frequency,monetary,segment,segment_name
12373,3,36,1127.65,22.11,516,0,2010-02-04 12:08:00,2011-02-01 13:10:00,310,3,1127.65,0,At Risk
12374,4,79,2989.22,36.01,1362,0,2010-04-30 14:01:00,2011-11-14 15:37:00,24,4,2989.22,0,At Risk
12375,3,14,455.42,25.30,178,1,2011-09-02 14:23:00,2011-12-07 11:27:00,2,3,455.42,0,At Risk
12376,2,11,503.15,38.70,240,0,2010-10-18 08:42:00,2010-11-15 12:15:00,389,2,503.15,0,At Risk
12377,4,129,3426.32,22.54,2105,0,2010-04-29 15:34:00,2011-01-28 15:45:00,314,4,3426.32,0,At Risk
12378,2,281,5416.32,17.99,3316,0,2010-05-26 14:07:00,2011-08-02 10:34:00,129,2,5416.32,0,At Risk
12379,5,58,1618.27,19.74,815,1,2010-06-23 12:49:00,2011-09-19 10:09:00,81,5,1618.27,0,At Risk
12380,15,156,7888.00,27.87,3355,30,2010-02-15 12:05:00,2011-11-18 11:27:00,21,15,7888.00,0,At Risk
12381,6,70,1803.96,19.82,808,25,2011-08-12 09:57:00,2011-12-05 12:44:00,4,6,1803.96,0,At Risk
12382,1,1,-18.38,-18.38,0,1,2010-01-26 16:25:00,2010-01-26 16:25:00,681,1,-18.38,0,At Risk
12383,6,84,1839.31,18.39,1532,3,2010-12-22 14:28:00,2011-06-08 08:02:00,184,6,1839.31,0,At Risk
12384,3,26,566.16,18.87,126,5,2011-08-10 11:23:00,2011-11-11 08:39:00,28,3,566.16,0,At Risk
12385,2,65,1923.40,29.14,612,1,2010-11-25 15:14:00,2010-11-25 15:19:00,378,2,1923.40,0,At Risk
12386,2,10,401.90,40.19,354,0,2010-12-08 09:53:00,2011-01-06 12:37:00,337,2,401.90,0,At Risk
12387,1,9,143.94,15.99,134,0,2010-10-20 16:27:00,2010-10-20 16:27:00,414,1,143.94,0,At Risk
12388,8,83,3901.11,26.72,2001,0,2010-05-06 12:54:00,2011-11-24 12:30:00,15,8,3901.11,0,At Risk
12389,3,41,1433.33,29.25,614,0,2010-02-22 10:15:00,2010-11-02 11:52:00,402,3,1433.33,0,At Risk
12390,1,32,549.84,17.18,353,0,2011-09-21 09:33:00,2011-09-21 09:33:00,79,1,549.84,0,At Risk
12391,7,241,2699.24,9.89,1204,8,2010-02-15 10:12:00,2011-11-18 12:07:00,21,7,2699.24,0,At Risk
12392,1,7,234.75,33.54,73,0,2010-04-27 14:04:00,2010-04-27 14:04:00,590,1,234.75,0,At Risk
12393,7,63,2376.75,21.22,1311,6,2010-10-07 13:49:00,2011-09-28 15:41:00,71,7,2376.75,0,At Risk
12394,2,26,1272.48,47.13,819,0,2011-05-06 14:01:00,2011-10-07 08:08:00,63,2,1272.48,0,At Risk
12395,18,145,4700.82,19.19,3205,5,2010-04-16 10:16:00,2011-11-24 12:20:00,15,18,4700.82,0,At Risk
12396,1,65,931.43,14.33,591,0,2010-02-03 13:22:00,2010-02-03 13:22:00,673,1,931.43,0,At Risk
12397,2,110,2409.90,19.13,1263,0,2011-07-27 14:21:00,2011-11-04 09:52:00,35,2,2409.90,0,At Risk
12398,1,85,1635.66,19.24,1394,0,2011-10-25 10:27:00,2011-10-25 10:27:00,45,1,1635.66,0,At Risk
12399,7,67,1962.30,17.84,2198,0,2010-03-05 08:45:00,2011-08-12 13:15:00,118,7,1962.30,0,At Risk
12400,1,11,205.25,18.66,91,0,2010-10-21 13:45:00,2010-10-21 13:45:00,413,1,205.25,0,At Risk
12401,1,5,84.30,16.86,11,0,2011-02-09 13:50:00,2011-02-09 13:50:00,302,1,84.30,0,At Risk
12402,7,43,1244.15,17.52,584,1,2010-02-07 12:41:00,2011-01-20 13:49:00,322,7,1244.15,0,At Risk
12403,3,5,1001.36,100.14,260,1,2010-07-06 11:39:00,2011-10-21 11:00:00,49,3,1001.36,0,At Risk
12404,1,1,63.24,63.24,1,0,2010-01-26 16:25:00,2010-01-26 16:25:00,681,1,63.24,0,At Risk
12405,1,54,1710.39,31.67,857,0,2011-07-14 08:52:00,2011-07-14 08:52:00,148,1,1710.39,0,At Risk
12406,7,114,6072.21,35.72,3416,33,2010-01-11 14:04:00,2011-11-17 19:22:00,21,7,6072.21,0,At Risk
12407,5,57,1708.12,22.18,1416,0,2011-03-20 13:21:00,2011-10-21 10:11:00,49,5,1708.12,0,At Risk
12408,14,104,4279.64,25.17,2229,43,2010-07-29 13:27:00,2011-11-07 12:30:00,32,14,4279.64,0,At Risk
12409,13,177,23090.47,84.89,13143,116,2010-05-23 15:21:00,2011-09-22 10:38:00,78,13,23090.47,0,At Risk
12410,4,36,1001.46,23.84,341,2,2010-07-25 13:26:00,2011-02-11 15:47:00,300,4,1001.46,0,At Risk
12411,1,22,346.90,15.77,138,0,2010-10-26 09:25:00,2010-10-26 09:25:00,409,1,346.90,0,At Risk
12412,8,82,2581.03,19.70,1997,6,2010-06-18 13:22:00,2011-09-26 10:16:00,74,8,2581.03,0,At Risk
12413,6,41,935.50,17.65,319,4,2010-11-02 13:26:00,2011-10-04 09:00:00,66,6,935.50,0,At Risk
12414,8,21,692.41,18.71,495,194,2010-09-02 12:22:00,2011-05-06 14:51:00,216,8,692.41,0,At Risk
12415,33,498,143269.29,145.01,91447,428,2010-06-30 08:30:00,2011-11-15 14:22:00,23,33,143269.29,1,Potential Loyal
12416,1,11,202.56,18.41,132,0,2010-02-21 10:19:00,2010-02-21 10:19:00,656,1,202.56,0,At Risk
12417,27,270,6688.71,17.65,2884,24,2009-12-06 10:30:00,2011-12-06 14:52:00,2,27,6688.71,0,At Risk
12418,5,90,2016.95,19.58,1088,1,2010-03-19 14:47:00,2011-08-19 11:08:00,112,5,2016.95,0,At Risk
12419,2,23,503.01,20.12,231,0,2010-10-22 10:40:00,2010-11-19 10:04:00,385,2,503.01,0,At Risk
12420,1,29,600.39,20.70,345,0,2011-10-07 08:55:00,2011-10-07 08:55:00,63,1,600.39,0,At Risk
12421,8,45,1092.83,16.31,652,5,2010-07-22 13:57:00,2011-11-24 09:07:00,15,8,1092.83,0,At Risk
12422,21,137,4119.35,23.41,2596,5,2009-12-18 12:44:00,2011-09-05 09:48:00,95,21,4119.35,0,At Risk
12423,11,128,2612.19,15.74,1793,12,2010-08-31 09:31:00,2011-12-09 10:10:00,0,11,2612.19,0,At Risk
12424,7,80,3289.78,33.92,2025,10,2009-12-07 14:43:00,2011-06-30 12:06:00,162,7,3289.78,0,At Risk
12425,3,87,1680.81,17.69,1147,44,2010-09-17 14:10:00,2011-09-22 17:31:00,77,3,1680.81,0,At Risk
12426,3,73,1311.41,15.99,584,7,2010-02-15 08:41:00,2011-05-29 12:26:00,194,3,1311.41,0,At Risk
12427,5,26,708.37,20.24,533,297,2010-12-03 10:44:00,2011-11-28 10:48:00,11,5,708.37,0,At Risk
12428,12,258,7877.20,26.26,3536,33,2011-03-01 09:33:00,2011-11-14 08:22:00,25,12,7877.20,0,At Risk
12429,9,124,6154.01,39.96,2890,120,2010-06-11 13:28:00,2011-11-30 17:22:00,8,9,6154.01,0,At Risk
12430,1,11,256.40,23.31,117,0,2011-10-27 15:09:00,2011-10-27 15:09:00,42,1,256.40,0,At Risk
12431,33,244,10293.66,25.93,4600,68,2010-01-15 09:04:00,2011-11-04 11:55:00,35,33,10293.66,0,At Risk
12432,5,107,5059.32,46.85,1801,0,2011-06-20 13:27:00,2011-10-28 11:43:00,42,5,5059.32,0,At Risk
12433,11,286,16641.74,29.72,13534,1,2010-08-20 09:23:00,2011-12-09 10:02:00,0,11,16641.74,0,At Risk
12434,5,62,1062.48,14.36,532,21,2010-11-23 13:38:00,2011-09-16 12:38:00,84,5,1062.48,0,At Risk
12435,6,88,13925.93,124.34,4958,0,2009-12-02 13:58:00,2011-09-21 09:06:00,79,6,13925.93,0,At Risk
12436,1,16,509.01,31.81,211,0,2011-09-01 12:09:00,2011-09-01 12:09:00,99,1,509.01,0,At Risk
12437,47,273,12394.85,21.30,8000,70,2009-12-02 16:24:00,2011-12-08 11:35:00,1,47,12394.85,0,At Risk
12438,2,84,2906.85,29.66,1180,0,2011-07-22 13:29:00,2011-11-25 13:28:00,13,2,2906.85,0,At Risk
12439,3,69,1089.18,14.72,478,30,2009-12-14 08:40:00,2010-01-26 12:11:00,682,3,1089.18,0,At Risk
12440,3,21,768.15,21.95,331,23,2009-12-22 12:03:00,2010-09-08 15:57:00,456,3,768.15,0,At Risk
12441,1,11,173.55,15.78,121,0,2010-12-08 10:45:00,2010-12-08 10:45:00,366,1,173.55,0,At Risk
12442,1,12,172.06,14.34,182,0,2011-12-06 14:22:00,2011-12-06 14:22:00,2,1,172.06,0,At Risk
12443,1,21,485.31,23.11,182,0,2009-12-07 15:42:00,2009-12-07 15:42:00,731,1,485.31,0,At Risk
12444,5,138,5005.46,28.44,1153,0,2011-06-21 14:00:00,2011-11-18 13:23:00,20,5,5005.46,0,At Risk
12445,3,24,426.48,17.06,206,2,2010-10-15 12:28:00,2011-11-17 18:43:00,21,3,426.48,0,At Risk
12446,1,57,1002.31,17.58,351,0,2011-10-13 12:50:00,2011-10-13 12:50:00,57,1,1002.31,0,At Risk
12447,1,26,476.49,18.33,190,0,2011-04-10 13:25:00,2011-04-10 13:25:00,242,1,476.49,0,At Risk
12448,1,22,449.45,20.43,243,0,2011-10-26 13:46:00,2011-10-26 13:46:00,43,1,449.45,0,At Risk
12449,6,125,4835.89,24.06,2282,0,2010-09-27 09:37:00,2011-11-17 13:46:00,21,6,4835.89,0,At Risk
12450,7,31,666.95,16.67,442,7,2010-08-22 13:11:00,2011-07-06 14:41:00,155,7,666.95,0,At Risk
12451,10,352,12546.53,24.41,9359,133,2010-06-28 12:58:00,2011-11-29 08:40:00,10,10,12546.53,0,At Risk
12452,3,21,428.57,18.63,185,2,2011-11-23 08:05:00,2011-11-23 10:28:00,16,3,428.57,0,At Risk
12453,1,43,707.09,16.44,473,0,2011-07-28 14:08:00,2011-07-28 14:08:00,133,1,707.09,0,At Risk
12454,9,25,4292.71,59.62,7703,5471,2010-01-26 16:24:00,2011-10-17 15:07:00,52,9,4292.71,0,At Risk
12455,10,199,5879.95,25.90,3302,0,2009-12-18 12:33:00,2011-09-27 15:31:00,72,10,5879.95,0,At Risk
12456,4,105,3153.89,24.45,1633,17,2011-03-30 09:12:00,2011-10-26 14:41:00,43,4,3153.89,0,At Risk
12457,14,63,2472.31,26.87,1094,157,2010-09-30 17:59:00,2011-10-12 13:46:00,57,14,2472.31,0,At Risk
12458,4,71,1777.49,21.16,986,0,2010-08-09 10:33:00,2011-09-29 15:25:00,70,4,1777.49,0,At Risk
12459,1,23,454.36,19.75,258,0,2010-04-13 14:53:00,2010-04-13 14:53:00,604,1,454.36,0,At Risk
12460,1,18,326.65,18.15,170,0,2010-09-09 13:51:00,2010-09-09 13:51:00,455,1,326.65,0,At Risk
12461,2,35,826.88,23.63,287,0,2011-07-08 10:23:00,2011-09-06 16:57:00,93,2,826.88,0,At Risk
12462,4,51,1124.01,15.61,536,22,2011-02-09 14:44:00,2011-12-07 14:02:00,1,4,1124.01,0,At Risk
12463,7,66,1303.63,14.81,776,19,2011-04-12 12:47:00,2011-10-24 13:43:00,45,7,1303.63,0,At Risk
12464,8,6,1212.05,41.79,112,0,2011-02-03 13:30:00,2011-11-29 13:33:00,9,8,1212.05,0,At Risk
12465,3,46,733.89,14.39,479,4,2011-06-23 13:37:00,2011-12-02 11:34:00,7,3,733.89,0,At Risk
12466,1,1,56.73,56.73,1,0,2010-01-26 16:26:00,2010-01-26 16:26:00,681,1,56.73,0,At Risk
12467,2,9,0.00,0.00,129,129,2010-10-12 15:41:00,2010-11-18 15:53:00,385,2,0.00,0,At Risk
12468,10,130,3624.55,22.24,2201,17,2010-01-19 12:13:00,2011-07-19 13:42:00,142,10,3624.55,0,At Risk
12469,2,76,3070.54,40.40,2552,0,2010-06-21 10:30:00,2010-07-05 12:40:00,522,2,3070.54,0,At Risk
12470,1,23,211.95,9.22,95,0,2010-01-19 11:01:00,2010-01-19 11:01:00,689,1,211.95,0,At Risk
12471,129,256,37920.01,29.30,16858,431,2009-12-02 14:43:00,2011-12-07 15:43:00,1,129,37920.01,0,At Risk
12472,37,400,15447.69,16.01,10378,400,2009-12-09 10:47:00,2011-11-09 11:33:00,30,37,15447.69,0,At Risk
12473,9,140,2837.73,15.94,2414,76,2011-06-01 10:15:00,2011-11-10 13:48:00,28,9,2837.73,0,At Risk
12474,54,369,11948.75,15.70,7940,153,2010-02-11 09:41:00,2011-11-22 14:39:00,16,54,11948.75,0,At Risk
12475,2,54,1149.64,18.85,771,0,2010-10-26 08:49:00,2011-10-17 10:10:00,53,2,1149.64,0,At Risk
12476,38,358,13684.12,24.35,5631,96,2010-07-26 09:04:00,2011-12-08 14:08:00,0,38,13684.12,0,At Risk
12477,12,296,20173.64,35.27,6119,33,2010-03-26 14:01:00,2011-11-17 09:51:00,22,12,20173.64,0,At Risk
12478,1,36,680.99,18.92,236,0,2011-12-06 09:56:00,2011-12-06 09:56:00,3,1,680.99,0,At Risk
12479,3,31,477.30,13.64,385,34,2011-11-28 13:26:00,2011-12-06 09:25:00,3,3,477.30,0,At Risk
12480,8,177,5435.10,22.18,2952,5,2010-07-20 13:21:00,2011-11-11 14:52:00,27,8,5435.10,0,At Risk
12481,18,248,12041.15,31.36,7158,138,2010-04-11 13:10:00,2011-11-17 08:29:00,22,18,12041.15,0,At Risk
12482,32,42,21893.53,105.77,27042,3,2010-02-24 10:24:00,2010-09-16 12:20:00,449,32,21893.53,0,At Risk
12483,27,68,4823.47,32.81,2160,27,2010-01-31 13:28:00,2011-11-22 17:03:00,16,27,4823.47,0,At Risk
12484,16,330,6287.80,13.10,3266,11,2009-12-03 10:57:00,2011-11-07 11:37:00,32,16,6287.80,0,At Risk
12485,1,34,708.10,20.83,414,0,2010-06-28 15:22:00,2010-06-28 15:22:00,528,1,708.10,0,At Risk
12486,1,49,1037.28,21.17,523,0,2010-10-04 12:14:00,2010-10-04 12:14:00,431,1,1037.28,0,At Risk
12487,2,3,259.80,86.60,174,30,2009-12-09 09:16:00,2009-12-09 11:36:00,730,2,259.80,0,At Risk
12488,3,46,1298.66,23.61,529,0,2011-09-25 10:34:00,2011-11-30 08:50:00,9,3,1298.66,0,At Risk
12489,1,15,334.93,22.33,105,0,2011-01-07 13:13:00,2011-01-07 13:13:00,335,1,334.93,0,At Risk
12490,22,195,9818.64,21.21,5906,4,2009-12-01 12:52:00,2011-12-04 16:07:00,4,22,9818.64,0,At Risk
12491,1,25,460.40,17.71,260,0,2011-11-01 12:18:00,2011-11-01 12:18:00,38,1,460.40,0,At Risk
12492,3,38,715.21,17.03,444,0,2010-11-01 14:58:00,2011-10-07 15:15:00,62,3,715.21,0,At Risk
12493,3,20,416.79,18.12,207,1,2011-05-26 14:53:00,2011-06-27 10:17:00,165,3,416.79,0,At Risk
12494,17,83,1685.92,14.17,979,27,2010-05-12 13:52:00,2011-11-30 09:21:00,9,17,1685.92,0,At Risk
12495,2,17,323.40,17.02,130,4,2010-03-09 10:53:00,2010-03-15 10:20:00,634,2,323.40,0,At Risk
12496,2,10,45.34,4.53,30,0,2010-03-29 13:57:00,2010-03-29 14:06:00,619,2,45.34,0,At Risk
12497,4,42,6211.75,107.10,5685,1,2010-01-26 17:21:00,2011-09-19 12:29:00,81,4,6211.75,0,At Risk
12498,3,21,403.70,17.55,159,0,2011-10-13 09:30:00,2011-11-18 12:53:00,20,3,403.70,0,At Risk
12499,1,27,393.72,14.58,302,0,2010-05-28 15:12:00,2010-05-28 15:12:00,559,1,393.72,0,At Risk
12500,25,89,5872.31,37.64,3377,17,2010-02-04 15:05:00,2011-11-16 16:20:00,22,25,5872.31,0,At Risk
12501,2,149,2089.68,13.06,1783,61,2011-01-07 12:28:00,2011-01-28 13:54:00,314,2,2089.68,0,At Risk
12502,5,102,3723.87,25.33,820,0,2011-02-03 10:41:00,2011-09-05 11:52:00,95,5,3723.87,0,At Risk
12503,2,3,0.00,0.00,561,1,2010-05-04 13:59:00,2011-01-06 11:51:00,337,2,0.00,0,At Risk
12504,6,11,411.00,15.81,458,39,2010-04-22 10:24:00,2011-11-21 16:02:00,17,6,411.00,0,At Risk
12505,3,43,908.00,19.32,324,11,2010-10-27 09:18:00,2011-02-11 13:39:00,300,3,908.00,0,At Risk
12506,1,23,73.50,3.20,23,0,2011-04-21 08:54:00,2011-04-21 08:54:00,232,1,73.50,0,At Risk
12507,5,46,1797.31,35.95,1256,11,2010-05-04 09:23:00,2011-07-28 17:09:00,133,5,1797.31,0,At Risk
12508,2,57,397.88,5.85,271,0,2011-11-10 16:27:00,2011-11-13 15:37:00,25,2,397.88,0,At Risk
12509,1,7,176.50,25.21,55,0,2011-02-28 14:45:00,2011-02-28 14:45:00,283,1,176.50,0,At Risk
12510,16,94,3689.33,23.96,2049,31,2009-12-04 13:47:00,2011-07-20 10:15:00,142,16,3689.33,0,At Risk
12511,2,190,3065.77,15.80,1753,5,2010-10-07 10:39:00,2010-10-21 10:58:00,414,2,3065.77,0,At Risk
12512,2,31,132.18,4.26,96,0,2011-10-04 14:53:00,2011-10-04 14:55:00,65,2,132.18,0,At Risk
12513,2,35,586.79,16.30,462,6,2011-08-19 10:51:00,2011-09-16 12:45:00,84,2,586.79,0,At Risk
12514,2,76,1597.76,19.02,840,0,2010-03-08 12:18:00,2011-03-17 16:38:00,266,2,1597.76,0,At Risk
12515,1,16,383.70,23.98,131,0,2010-12-21 15:43:00,2010-12-21 15:43:00,352,1,383.70,0,At Risk
12516,4,49,2648.62,35.79,1952,0,2010-04-19 14:14:00,2011-09-23 09:13:00,77,4,2648.62,0,At Risk
12517,6,232,2443.65,8.70,1361,23,2011-06-02 15:13:00,2011-11-11 14:04:00,27,6,2443.65,0,At Risk
12518,5,84,2056.89,16.59,1318,0,2011-08-21 13:18:00,2011-12-09 10:13:00,0,5,2056.89,0,At Risk
12519,3,34,685.19,16.71,387,7,2010-08-20 08:21:00,2011-10-07 09:26:00,63,3,685.19,0,At Risk
12520,6,121,2582.51,16.66,1439,9,2011-03-11 11:35:00,2011-09-21 15:23:00,78,6,2582.51,0,At Risk
12521,1,38,599.68,15.78,309,0,2011-07-20 10:51:00,2011-07-20 10:51:00,142,1,599.68,0,At Risk
12522,2,11,192.72,16.06,194,0,2011-10-19 14:41:00,2011-10-31 15:30:00,38,2,192.72,0,At Risk
12523,30,176,4201.05,15.91,2263,27,2009-12-02 10:28:00,2011-12-08 11:46:00,1,30,4201.05,0,At Risk
12524,18,157,11091.36,45.83,7178,5,2010-02-08 14:41:00,2011-11-30 15:31:00,8,18,11091.36,0,At Risk
12525,8,56,835.18,10.85,509,22,2009-12-04 10:10:00,2010-08-05 18:09:00,490,8,835.18,0,At Risk
12526,3,64,1316.66,18.54,632,0,2011-09-06 14:19:00,2011-12-09 12:09:00,0,3,1316.66,0,At Risk
12527,5,26,735.51,22.98,526,0,2010-06-28 15:37:00,2011-09-19 11:55:00,81,5,735.51,0,At Risk
12528,8,50,1922.28,20.23,756,6,2011-01-31 09:05:00,2011-11-30 14:40:00,8,8,1922.28,0,At Risk
12529,2,21,311.78,13.56,192,2,2010-06-29 13:10:00,2010-07-05 09:35:00,522,2,311.78,0,At Risk
12530,12,94,3689.86,22.78,2713,15,2010-03-07 14:37:00,2011-10-11 12:34:00,59,12,3689.86,0,At Risk
12531,3,126,1899.05,14.28,1119,15,2010-01-22 14:17:00,2011-11-25 11:12:00,14,3,1899.05,0,At Risk
12532,1,16,349.83,21.86,153,0,2011-11-09 13:47:00,2011-11-09 13:47:00,29,1,349.83,0,At Risk
12533,6,63,1149.99,12.78,704,136,2009-12-01 11:50:00,2010-03-31 10:24:00,618,6,1149.99,0,At Risk
12534,1,63,1089.18,17.29,651,0,2011-08-01 10:26:00,2011-08-01 10:26:00,130,1,1089.18,0,At Risk
12535,2,28,716.35,21.07,219,0,2011-06-06 12:47:00,2011-09-09 08:48:00,91,2,716.35,0,At Risk
12536,5,260,4106.82,15.04,2803,151,2011-10-11 14:52:00,2011-12-02 12:43:00,7,5,4106.82,0,At Risk
12537,1,43,732.94,17.05,449,0,2010-10-27 08:36:00,2010-10-27 08:36:00,408,1,732.94,0,At Risk
12538,2,33,640.45,18.84,336,0,2010-11-26 13:02:00,2011-11-10 17:16:00,28,2,640.45,0,At Risk
12539,8,277,9498.90,18.81,4535,1,2009-12-23 13:00:00,2011-11-17 13:30:00,21,8,9498.90,0,At Risk
12540,36,355,22107.29,28.53,11019,10,2009-12-07 16:56:00,2011-11-20 11:31:00,19,36,22107.29,0,At Risk
12541,3,46,981.18,18.87,680,0,2011-03-04 09:32:00,2011-11-10 10:40:00,29,3,981.18,0,At Risk
12542,4,39,423.38,9.41,522,8,2010-03-09 16:26:00,2010-08-12 19:12:00,483,4,423.38,0,At Risk
12543,1,43,980.25,22.80,688,0,2010-09-17 15:51:00,2010-09-17 15:51:00,447,1,980.25,0,At Risk
12544,2,19,355.70,17.79,136,4,2011-11-03 16:15:00,2011-11-10 11:12:00,29,2,355.70,0,At Risk
12545,2,42,1000.39,20.01,523,0,2011-03-25 12:04:00,2011-09-25 13:39:00,74,2,1000.39,0,At Risk
12546,3,59,1141.50,16.31,633,16,2011-09-23 09:44:00,2011-10-24 12:09:00,46,3,1141.50,0,At Risk
12547,3,13,383.58,18.27,309,0,2010-07-27 13:55:00,2011-05-26 12:38:00,197,3,383.58,0,At Risk
12548,1,5,95.20,19.04,49,0,2011-06-26 15:35:00,2011-06-26 15:35:00,165,1,95.20,0,At Risk
12549,6,38,1575.68,32.16,1366,0,2010-01-11 12:29:00,2010-05-13 12:05:00,575,6,1575.68,0,At Risk
12550,1,57,964.83,16.93,569,0,2011-09-21 14:35:00,2011-09-21 14:35:00,78,1,964.83,0,At Risk
12551,1,10,168.00,16.80,100,0,2010-12-17 11:23:00,2010-12-17 11:23:00,357,1,168.00,0,At Risk
12552,2,20,437.82,21.89,88,0,2011-10-31 12:11:00,2011-11-01 10:02:00,38,2,437.82,0,At Risk
12553,17,109,4548.82,18.64,2325,43,2010-10-12 13:35:00,2011-12-01 16:38:00,7,17,4548.82,0,At Risk
12554,1,26,468.50,18.02,240,0,2010-09-17 12:29:00,2010-09-17 12:29:00,448,1,468.50,0,At Risk
12555,1,1,129.23,129.23,1,0,2010-01-26 16:26:00,2010-01-26 16:26:00,681,1,129.23,0,At Risk
12556,2,100,599.56,5.04,355,0,2011-07-11 13:35:00,2011-10-20 13:06:00,49,2,599.56,0,At Risk
12557,8,15,18096.14,341.44,6382,0,2009-12-17 10:39:00,2011-11-23 16:59:00,15,8,18096.14,0,At Risk
12558,2,11,0.00,0.00,196,196,2011-12-02 10:41:00,2011-12-08 10:14:00,1,2,0.00,0,At Risk
12559,3,21,536.21,24.37,283,2,2011-01-24 10:12:00,2011-02-02 09:49:00,310,3,536.21,0,At Risk
12560,4,92,2101.39,18.93,1110,32,2011-07-19 15:55:00,2011-12-04 13:54:00,4,4,2101.39,0,At Risk
12561,1,16,238.85,14.93,177,0,2011-02-10 11:39:00,2011-02-10 11:39:00,302,1,238.85,0,At Risk
12562,9,113,4966.92,23.99,2327,0,2010-09-30 13:13:00,2011-12-01 17:20:00,7,9,4966.92,0,At Risk
12563,1,13,249.24,19.17,113,0,2010-10-27 09:52:00,2010-10-27 09:52:00,408,1,249.24,0,At Risk
12564,1,21,456.90,21.76,133,0,2011-03-23 14:55:00,2011-03-23 14:55:00,260,1,456.90,0,At Risk
12565,2,9,131.17,13.12,80,5,2011-02-24 10:34:00,2011-03-03 11:43:00,281,2,131.17,0,At Risk
12566,2,19,346.70,17.34,265,1,2011-09-14 14:30:00,2011-09-28 09:57:00,72,2,346.70,0,At Risk
12567,17,365,11451.44,19.92,5308,222,2010-02-11 10:30:00,2011-11-17 11:02:00,22,17,11451.44,0,At Risk
12568,1,5,70.00,14.00,48,0,2010-03-05 09:15:00,2010-03-05 09:15:00,644,1,70.00,0,At Risk
12569,35,92,4064.99,21.28,1801,8,2011-04-01 13:47:00,2011-12-07 16:24:00,1,35,4064.99,0,At Risk
12570,1,1,77.52,77.52,1,0,2010-01-26 17:28:00,2010-01-26 17:28:00,681,1,77.52,0,At Risk
